FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
46.0,2017-08-24,Falcon 9,475.0,SSO,VAFB SLC 4E,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,3.0,1.0,B1038,-120.610829,34.632093
47.0,2017-09-07,Falcon 9,4990.0,LEO,KSC LC 39A,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1.0,B1040,-80.6039558,28.6080585
48.0,2017-10-09,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,4.0,1.0,B1041,-120.610829,34.632093
49.0,2017-10-11,Falcon 9,5200.0,GTO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,3.0,1.0,B1031,-80.6039558,28.6080585
50.0,2017-10-30,Falcon 9,3700.0,GTO,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,0.0,B1042,-80.6039558,28.6080585
51.0,2017-12-15,Falcon 9,2205.0,ISS,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb267a34e7c7,3.0,1.0,B1035,-80.577366,28.5618571
52.0,2017-12-23,Falcon 9,9600.0,PO,VAFB SLC 4E,True Ocean,2.0,True,True,False,,3.0,1.0,B1036,-120.610829,34.632093
53.0,2018-01-08,Falcon 9,6123.547647058824,LEO,CCSFS SLC 40,True RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,4.0,1.0,B1043,-80.577366,28.5618571
54.0,2018-01-31,Falcon 9,4230.0,GTO,CCSFS SLC 40,True Ocean,2.0,True,True,True,,3.0,1.0,B1032,-80.577366,28.5618571
57.0,2018-03-06,Falcon 9,6092.0,GTO,CCSFS SLC 40,None None,1.0,True,False,True,,4.0,0.0,B1044,-80.577366,28.5618571
58.0,2018-03-30,Falcon 9,9600.0,PO,VAFB SLC 4E,None None,2.0,True,True,True,,4.0,1.0,B1041,-120.610829,34.632093
59.0,2018-04-02,Falcon 9,2760.0,ISS,CCSFS SLC 40,None None,2.0,True,True,True,,4.0,1.0,B1039,-80.577366,28.5618571
60.0,2018-04-18,Falcon 9,350.0,HEO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,4.0,1.0,B1045,-80.577366,28.5618571
61.0,2018-05-11,Falcon 9,3750.0,GTO,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1046,-80.6039558,28.6080585
63.0,2018-06-04,Falcon 9,5383.85,GTO,CCSFS SLC 40,None None,2.0,False,True,False,,4.0,1.0,B1040,-80.577366,28.5618571
64.0,2018-06-29,Falcon 9,2410.0,ISS,CCSFS SLC 40,None None,2.0,False,True,False,,4.0,1.0,B1045,-80.577366,28.5618571
65.0,2018-07-22,Falcon 9,7076.0,GTO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1047,-80.577366,28.5618571
66.0,2018-07-25,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,4.0,B1048,-120.610829,34.632093
67.0,2018-08-07,Falcon 9,5800.0,GTO,CCSFS SLC 40,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1046,-80.577366,28.5618571
68.0,2018-09-10,Falcon 9,7060.0,GTO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
69.0,2018-10-08,Falcon 9,2800.0,SSO,VAFB SLC 4E,True RTLS,2.0,True,True,True,5e9e3032383ecb554034e7c9,5.0,4.0,B1048,-120.610829,34.632093
70.0,2018-11-15,Falcon 9,3000.0,GTO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,2.0,B1047,-80.6039558,28.6080585
71.0,2018-12-03,Falcon 9,4000.0,SSO,VAFB SLC 4E,True ASDS,3.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,3.0,B1046,-120.610829,34.632093
72.0,2018-12-05,Falcon 9,2573.0,ISS,CCSFS SLC 40,False RTLS,1.0,True,False,True,5e9e3032383ecb267a34e7c7,5.0,0.0,B1050,-80.577366,28.5618571
73.0,2018-12-23,Falcon 9,4400.0,MEO,CCSFS SLC 40,None None,1.0,False,False,False,,5.0,0.0,B1054,-80.577366,28.5618571
74.0,2019-01-11,Falcon 9,9600.0,PO,VAFB SLC 4E,True ASDS,2.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1049,-120.610829,34.632093
76.0,2019-03-02,Falcon 9,12259.0,ISS,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.6039558,28.6080585
78.0,2019-05-04,Falcon 9,2482.0,ISS,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056,-80.577366,28.5618571
79.0,2019-05-24,Falcon 9,13200.0,VLEO,CCSFS SLC 40,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
80.0,2019-06-12,Falcon 9,1425.0,SSO,VAFB SLC 4E,True RTLS,2.0,True,True,True,5e9e3032383ecb554034e7c9,5.0,12.0,B1051,-120.610829,34.632093
82.0,2019-07-25,Falcon 9,2227.7,ISS,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,3.0,B1056,-80.577366,28.5618571
83.0,2019-08-06,Falcon 9,6500.0,GTO,CCSFS SLC 40,None None,3.0,False,True,False,,5.0,2.0,B1047,-80.577366,28.5618571
84.0,2019-11-11,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4.0,B1048,-80.577366,28.5618571
85.0,2019-12-05,Falcon 9,5000.0,ISS,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1059,-80.577366,28.5618571
86.0,2019-12-17,Falcon 9,6800.0,GTO,CCSFS SLC 40,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056,-80.577366,28.5618571
87.0,2020-01-07,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
88.0,2020-01-19,Falcon 9,6123.547647058824,SO,KSC LC 39A,None None,4.0,False,True,False,,5.0,3.0,B1046,-80.6039558,28.6080585
89.0,2020-01-29,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.577366,28.5618571
90.0,2020-02-17,Falcon 9,15600.0,VLEO,CCSFS SLC 40,False ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,3.0,B1056,-80.577366,28.5618571
91.0,2020-03-07,Falcon 9,1977.0,ISS,CCSFS SLC 40,True RTLS,2.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5.0,B1059,-80.577366,28.5618571
92.0,2020-03-18,Falcon 9,15600.0,VLEO,KSC LC 39A,False ASDS,5.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,4.0,B1048,-80.6039558,28.6080585
93.0,2020-04-22,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,4.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.6039558,28.6080585
94.0,2020-05-30,Falcon 9,9525.0,ISS,KSC LC 39A,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,13.0,B1058,-80.6039558,28.6080585
95.0,2020-06-04,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,5.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,9.0,B1049,-80.577366,28.5618571
96.0,2020-06-13,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,5.0,B1059,-80.577366,28.5618571
97.0,2020-06-30,Falcon 9,3880.0,MEO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1060,-80.577366,28.5618571
98.0,2020-07-20,Falcon 9,6123.547647058824,GEO,CCSFS SLC 40,True ASDS,2.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,13.0,B1058,-80.577366,28.5618571
100.0,2020-08-18,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,6.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,9.0,B1049,-80.577366,28.5618571
101.0,2020-08-30,Falcon 9,1600.0,SSO,CCSFS SLC 40,True RTLS,4.0,True,True,True,5e9e3032383ecb267a34e7c7,5.0,5.0,B1059,-80.577366,28.5618571
102.0,2020-09-03,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,2.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1060,-80.6039558,28.6080585
103.0,2020-10-06,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,3.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,13.0,B1058,-80.6039558,28.6080585
104.0,2020-10-18,Falcon 9,15600.0,VLEO,KSC LC 39A,True ASDS,6.0,True,True,True,5e9e3032383ecb6bb234e7ca,5.0,12.0,B1051,-80.6039558,28.6080585
105.0,2020-10-24,Falcon 9,15600.0,VLEO,CCSFS SLC 40,True ASDS,3.0,True,True,True,5e9e3033383ecbb9e534e7cc,5.0,12.0,B1060,-80.577366,28.5618571
106.0,2020-11-05,Falcon 9,3681.0,MEO,CCSFS SLC 40,True ASDS,1.0,True,False,True,5e9e3032383ecb6bb234e7ca,5.0,8.0,B1062,-80.577366,28.5618571
